attempttime,difficulty,userid,iscorrect,examid
1488742980430,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980432,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980433,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980435,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980437,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980439,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980441,2,a53b4ed0-984d-11e6-8b8b-33c7b2156ac7,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980683,2,fbcbe92c-9869-11e6-8320-9811740991e5,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980686,2,fbcbe92c-9869-11e6-8320-9811740991e5,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980691,2,fbcbe92c-9869-11e6-8320-9811740991e5,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980702,2,fbcbe92c-9869-11e6-8320-9811740991e5,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980805,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980810,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980814,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980816,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980819,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980821,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980824,2,46c45160-9877-11e6-949a-bf503d67dcef,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980921,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980923,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980929,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980931,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980933,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980935,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980937,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980940,2,25883b60-988b-11e6-9a26-0c81a7e11ab0,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980971,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980973,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742980976,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981019,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981021,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981023,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981025,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742981027,2,e3357cd2-98c5-11e6-b119-73eae0b1bc85,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
